programAk,tradeName,displayTradeName,promptTradeName,socCode,description
12106,Plant Maintenance-Electrician,Plant Maintenance-Electrician,Plant Maintenance-Electrician,47-2111.00,"A Plant Maintenance-Electrician keeps a factory or industrial plant’s electrical systems working safely and reliably. They install and repair wiring, motors, control panels, sensors, and lighting, test equipment, trace faults, and replace worn parts to prevent breakdowns. Their work keeps machines running, helps avoid shutdowns, and makes the plant safer and more dependable."
12124,Plant Maintenance-Millwright,Plant Maintenance-Millwright,Plant Maintenance-Millwright,49-9044.00,"A Plant Maintenance-Millwright installs, moves, repairs, and lines up heavy machines in factories, plants, and mills. They take apart motors, pumps, conveyors, and gear systems, replace worn parts, use precision tools to set equipment correctly, and test it after repairs. Their work keeps production equipment running safely, smoothly, and with less downtime."
12170,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
12180,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
12199,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12225,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12243,Tile Setter (4 Year),Tile Setter,Tile Setter (),47-2044.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and other buildings. They measure spaces, spread adhesive, cut tile to fit around corners and pipes, set each piece in place, and finish joints with grout. Their work creates durable, easy-to-clean surfaces and helps keep rooms protected from wear and water."
12262,Pipefitter,Pipefitter,Pipefitter,47-2152.00,"A Pipefitter installs, assembles, and repairs the pipes that carry steam, water, chemicals, and gases in factories, power plants, and large buildings. They read blueprints, cut and thread pipe, weld or bolt sections together, and test systems for leaks and pressure. Their work keeps industrial equipment running safely and reliably."
12267,Steamfitter,Steamfitter,Steamfitter,47-2152.00,"A Steamfitter installs, connects, tests, and repairs the large pipes, valves, and control systems that carry steam, hot water, and other fluids in buildings and industrial sites. They cut and thread pipe, read blueprints, fit heavy sections, and check for leaks. Their work keeps heating, cooling, and mechanical systems running safely and reliably."
12291,Precision Optics Manufacturing Technician,Precision Optics Manufacturing Technician,Precision Optics Manufacturing Technician,51-2099.00,"A Precision Optics Manufacturing Technician makes high-precision glass or crystal parts used in devices like microscopes, cameras, lasers, and medical tools. They cut, grind, polish, coat, clean, and inspect lenses, mirrors, and prisms using specialized machines and measuring tools. Their work helps optical equipment stay accurate, reliable, and safe for everyday use."
12308,Electrical (Outside) Line Worker,Electrical Line Worker,Electrical (Outside) Line Worker,49-9051.00,"An outside Electrical Line Worker builds, repairs, and maintains overhead and underground power lines and related equipment. They climb poles or work from bucket trucks, string wire, replace damaged lines, connect transformers, and restore service after storms and outages. Their work keeps electricity flowing to homes, schools, businesses, and streetlights safely and reliably."
12331,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
12361,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12374,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
12541,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12605,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,47-2021.00,"A Bricklayer Mason and Plasterer builds and repairs walls, chimneys, fireplaces, and other structures using brick, block, stone, mortar, and plaster. They spread mortar, lay materials in straight lines, smooth plaster onto walls and ceilings, and patch damaged surfaces. Their work builds strong, finished surfaces that protect buildings and keep them safe and weather-resistant."
